"id","submitdate","lastpage","startlanguage","startdate","datestamp","Consent","Gender","Age","Degree","Role.R1.","Role.R2.","Role.R3.","Role.R4.","Role.R5.","Role.R6.","Role.R7.","Role.R8.","Role.R9.","Role.R10.","Role.other.","Bias.B1.","Bias.B2.","Bias.B3.","Bias.B4.","Bias.B5.","Bias.B6.","Bias.B7.","Bias.B8.","Bias.B9.","Bias.B10.","Bias.other.","IT","Work","Training","Notation.None.","Notation.BPMN.","Notation.EPC.","Notation.UMLAD.","Notation.UML.","Notation.CMMN.","Notation.other.","SetId","Tutorial","Experience","Model1Q1a","Model1Q2a","Model1Q3a","Model1Q4a","Model1Q5a.SQ001.","Model1Q5a.SQ002.","Model1Q5a.SQ003.","Model1Q5a.SQ004.","Model1Q5a.SQ005.","Model1Q5a.SQ006.","Perceived1a.ans.","Model2Q1a","Model2Q2a","Model2Q3a","Model2Q4a","Model2Q5a.SQ001.","Model2Q5a.SQ002.","Model2Q5a.SQ003.","Model2Q5a.SQ004.","Model2Q5a.SQ005.","Model2Q5a.SQ006.","Perceived2a.ans.","Model3Q1a","Model3Q2a","Model3Q3a","Model3Q4a","Model3Q5a.SQ001.","Model3Q5a.SQ002.","Model3Q5a.SQ003.","Model3Q5a.SQ004.","Model3Q5a.SQ005.","Model3Q5a.SQ006.","Perceived3a.ans.","Model4Q1a","Model4Q2a","Model4Q3a","Model4Q4a","Model4Q5a.SQ001.","Model4Q5a.SQ002.","Model4Q5a.SQ003.","Model4Q5a.SQ004.","Model4Q5a.SQ005.","Model4Q5a.SQ006.","Perceived4a.ans.","Model5Q1a","Model5Q2a","Model5Q3a","Model5Q4a","Model5Q5a.SQ001.","Model5Q5a.SQ002.","Model5Q5a.SQ003.","Model5Q5a.SQ004.","Model5Q5a.SQ005.","Model5Q5a.SQ006.","Perceived5a.ans.","Model6Q1a","Model6Q2a","Model6Q3a","Model6Q4a","Model6Q5a.SQ001.","Model6Q5a.SQ002.","Model6Q5a.SQ003.","Model6Q5a.SQ004.","Model6Q5a.SQ005.","Model6Q5a.SQ006.","Perceived6a.ans.","Model1Q1b","Model1Q2b","Model1Q3b","Model1Q4b","Model1Q5b.SQ001.","Model1Q5b.SQ002.","Model1Q5b.SQ003.","Model1Q5b.SQ004.","Model1Q5b.SQ005.","Model1Q5b.SQ006.","Perceived1b.ans.","Model2Q1b","Model2Q2b","Model2Q3b","Model2Q4b","Model2Q5b.SQ001.","Model2Q5b.SQ002.","Model2Q5b.SQ003.","Model2Q5b.SQ004.","Model2Q5b.SQ005.","Model2Q5b.SQ006.","Perceived2b.ans.","Model3Q1b","Model3Q2b","Model3Q3b","Model3Q4b","Model3Q5b.SQ001.","Model3Q5b.SQ002.","Model3Q5b.SQ003.","Model3Q5b.SQ004.","Model3Q5b.SQ005.","Model3Q5b.SQ006.","Perceived3b.ans.","Model4Q1b","Model4Q2b","Model4Q3b","Model4Q4b","Model4Q5b.SQ001.","Model4Q5b.SQ002.","Model4Q5b.SQ003.","Model4Q5b.SQ004.","Model4Q5b.SQ005.","Model4Q5b.SQ006.","Perceived4b.ans.","Model5Q1b","Model5Q2b","Model5Q3b","Model5Q4b","Model5Q5b.SQ001.","Model5Q5b.SQ002.","Model5Q5b.SQ003.","Model5Q5b.SQ004.","Model5Q5b.SQ005.","Model5Q5b.SQ006.","Perceived5b.ans.","Compare1vs2.ans.","Compare1vs3.ans.","Compare1vs4.ans.","Compare1vs5.ans.","Compare1vs6.ans.","Compare2vs1.ans.","Compare2vs3.ans.","Compare2vs4.ans.","Compare2vs5.ans.","Compare2vs6.ans.","Compare3vs1.ans.","Compare3vs2.ans.","Compare3vs4.ans.","Compare3vs5.ans.","Compare3vs6.ans.","Compare4vs1.ans.","Compare4vs2.ans.","Compare4vs3.ans.","Compare4vs5.ans.","Compare4vs6.ans.","Compare5vs1.ans.","Compare5vs2.ans.","Compare5vs3.ans.","Compare5vs4.ans.","Compare5vs6.ans.","Compare6vs1.ans.","Compare6vs2.ans.","Compare6vs3.ans.","Compare6vs4.ans.","Compare6vs5.ans.","Weights.CasePlan.","Weights.Stage.","Weights.DStage.","Weights.PlanFrag.","Weights.CFileItem.","Weights.Task.","Weights.DTask.","Weights.NBHTask.","Weights.ProcTask.","Weights.CaseTask.","Weights.CaseTasknim.","Weights.BHTask.","Weights.Event.","Weights.UserEvent.","Weights.TimerEvent.","Weights.Milestone.","Weights.Connector.","Weights.HumanIcon.","Weights.CPlanningT.","Weights.EPlanningT.","Weights.AComplete.","Weights.Collapsed.","Weights.Expanded.","Weights.ManualA.","Weights.Repetition.","Weights.Required.","Weights.EntryCritWC.","Weights.EntryCrit.","Weights.ExitCritWC.","Weights.ExitCrit.","Weights.EntryCritAND.","Weights.EntryCritOR.","Weights.ExitCritAND.","Weights.ExitCritOR.","Charity","Charity.other.","EarlyAccess","Final","interviewtime","groupTime1","ConsentTime","groupTime2","GenderTime","AgeTime","DegreeTime","RoleTime","BiasTime","ITTime","WorkTime","TrainingTime","NotationTime","SetIdTime","groupTime3","TutorialTime","ExperienceTime","groupTime5","Model1Q1aTime","Model1Q2aTime","Model1Q3aTime","Model1Q4aTime","Model1Q5aTime","Perceived1aTime","groupTime6","Model2Q1aTime","Model2Q2aTime","Model2Q3aTime","Model2Q4aTime","Model2Q5aTime","Perceived2aTime","groupTime7","Model3Q1aTime","Model3Q2aTime","Model3Q3aTime","Model3Q4aTime","Model3Q5aTime","Perceived3aTime","groupTime8","Model4Q1aTime","Model4Q2aTime","Model4Q3aTime","Model4Q4aTime","Model4Q5aTime","Perceived4aTime","groupTime9","Model5Q1aTime","Model5Q2aTime","Model5Q3aTime","Model5Q4aTime","Model5Q5aTime","Perceived5aTime","groupTime10","Model6Q1aTime","Model6Q2aTime","Model6Q3aTime","Model6Q4aTime","Model6Q5aTime","Perceived6aTime","groupTime11","Model1Q1bTime","Model1Q2bTime","Model1Q3bTime","Model1Q4bTime","Model1Q5bTime","Perceived1bTime","groupTime12","Model2Q1bTime","Model2Q2bTime","Model2Q3bTime","Model2Q4bTime","Model2Q5bTime","Perceived2bTime","groupTime13","Model3Q1bTime","Model3Q2bTime","Model3Q3bTime","Model3Q4bTime","Model3Q5bTime","Perceived3bTime","groupTime14","Model4Q1bTime","Model4Q2bTime","Model4Q3bTime","Model4Q4bTime","Model4Q5bTime","Perceived4bTime","groupTime15","Model5Q1bTime","Model5Q2bTime","Model5Q3bTime","Model5Q4bTime","Model5Q5bTime","Perceived5bTime","groupTime16","Compare1vs2Time","groupTime17","Compare1vs3Time","groupTime18","Compare1vs4Time","groupTime19","Compare1vs5Time","groupTime20","Compare1vs6Time","groupTime21","Compare2vs1Time","groupTime22","Compare2vs3Time","groupTime23","Compare2vs4Time","groupTime24","Compare2vs5Time","groupTime25","Compare2vs6Time","groupTime26","Compare3vs1Time","groupTime27","Compare3vs2Time","groupTime28","Compare3vs4Time","groupTime29","Compare3vs5Time","groupTime30","Compare3vs6Time","groupTime31","Compare4vs1Time","groupTime32","Compare4vs2Time","groupTime33","Compare4vs3Time","groupTime34","Compare4vs5Time","groupTime35","Compare4vs6Time","groupTime36","Compare5vs1Time","groupTime37","Compare5vs2Time","groupTime38","Compare5vs3Time","groupTime39","Compare5vs4Time","groupTime40","Compare5vs6Time","groupTime41","Compare6vs1Time","groupTime42","Compare6vs2Time","groupTime43","Compare6vs3Time","groupTime44","Compare6vs4Time","groupTime45","Compare6vs5Time","groupTime4","WeightsTime","groupTime46","CharityTime","EarlyAccessTime","FinalTime"
109,,33,"en","2016-06-15 20:30:18","2016-06-15 20:39:56","1","M",50,2,,,,,,,"1",,,,,,,,,,"1",,,,,,25,20,5,,"1","1","1",,"1",,20,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.58,11.47,,56.59,,,,,,,,,,,485.54,,,,,,,,,,,,,,,,,,,,,,,,16.21,,,,,,,,,,,,,,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,2,"en","2016-06-15 20:30:57","2016-06-15 20:33:42","1","M",41,3,,"1",,,,,,,,,,"1",,,,"1","1",,,,,,16,16,10,,"1","1","1",,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.34,20.53,,138.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,1,"en","2016-06-15 21:45:02","2016-06-15 21:45:25","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.49,23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,3,"en","2016-06-16 01:17:36","2016-06-16 01:28:09","1","F",34,3,,,,,,,,,,"1",,,"1",,,,"1",,,,,,10,8,0,,"1",,,,"1",,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.77,69.65,,122.78,,,,,,,,,,,420.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"2016-06-16 08:35:52",46,"en","2016-06-16 07:57:38","2016-06-16 08:35:52","1","M",25,4,,,,"1",,,,,"1",,,,"1",,"1",,"1",,,,,,4,3,20,,"1",,"1","1","1",,24,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"2","1","1","1","1",,"1","1",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"2","2","2",,,"1",,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A4",,,,2297.26,90.73,,92.29,,,,,,,,,,,1711.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.04,,,,,,,,,,,,,,43.68,,44.56,,,
115,"2016-06-16 19:34:54",46,"en","2016-06-16 10:08:30","2016-06-16 19:34:54","1","M",58,5,,,,,,,,"1",,,,,"1",,"1",,"1",,,,,,20,10,40,,"1",,"1",,"1",,26,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"1","1","1",,"1",,,,,2,5,"1","2","1",,,"1","1",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3",,,,2273.45,34.89,,118.16,,,,,,,,,,,40.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.87,,,,,,,246.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.47,,,,,,,,,,54.2,,236.89,,,
116,"2016-06-16 16:36:03",46,"en","2016-06-16 13:36:36","2016-06-16 16:36:03","1","M",30,4,,"1",,"1","1",,"1",,,,,,"1",,"1",,"1",,,,,,7,6,2,,"1",,"1","1","1","Data Flow Diagrams (context models), state diagrams, ",27,"2","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"1","1","1",,,,,,"1",2,,,,,,,,,,,,5,"2","1","2",,"1","1",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A4",,,,10770.2,21.05,,124.96,,,,,,,,,,,10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10248.9,,,,,,,,,,,,,,96.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,61.98,,192.86,,,
117,,1,"en","2016-06-16 19:18:10","2016-06-16 19:18:39","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99,18.4,,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,"en","2016-06-17 02:24:18","2016-06-17 02:24:18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"2016-06-17 13:36:28",46,"en","2016-06-17 08:58:11","2016-06-17 13:36:28","1","M",49,5,,,"1","1","1","1","1","1",,,,,,,,"1",,,,,,,30,17,3,,"1",,,,,,1,"1",,5,"1","2",,,,"1","1",,,2,5,"1","2","2",,"1","1",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3",,,,451.7,9.22,,58.82,,,,,,,,,,,31.71,,,62.83,,,,,,,141.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.97,,52.85,,,
